,a_rouge_1s,b_rouge_1s,a_rouge_2s,b_rouge_2s,a_rouge_ls,b_rouge_ls,a_bleus,b_bleus,a_bert_scores,b_bert_scores
79,0.27586206793785095,0.3333333432674408,0.07407407462596893,0.0,0.2068965584039688,0.1818181872367859,0.0,0.0,0.6678839921951294,0.635969340801239
80,0.42424243688583374,0.3888888955116272,0.3870967626571655,0.29629629850387573,0.42424243688583374,0.3448275923728943,0.3579141280308304,0.2731212370753469,0.7027190327644348,0.6455406546592712
81,0.2857142984867096,0.2666666805744171,0.06666667014360428,0.0714285746216774,0.2142857164144516,0.2666666805744171,0.0,0.0,0.6589508056640625,0.7045716643333435
82,0.21052631735801697,0.14814814925193787,0.0810810774564743,0.10256410390138626,0.18421052396297455,0.1463414579629898,0.0,0.0,0.5971747040748596,0.633226215839386
83,0.2222222238779068,0.4000000059604645,0.03076923079788685,0.19354838132858276,0.17777778208255768,0.4000000059604645,0.0,0.0,0.6136616468429565,0.7038270831108093
84,0.37837839126586914,0.2068965584039688,0.17142857611179352,0.07407407462596893,0.3243243098258972,0.2068965584039688,0.0,0.0,0.7199305295944214,0.6466437578201294
85,0.1666666716337204,0.10526315867900848,0.0,0.0,0.08695652335882187,0.10526315867900848,0.0,0.0,0.6215120553970337,0.6018783450126648
86,0.1666666716337204,0.190476194024086,0.0,0.0,0.0833333358168602,0.095238097012043,0.0,0.0,0.6335124969482422,0.6856163740158081
87,0.1764705926179886,0.2142857164144516,0.09090909361839294,0.07692307978868484,0.1666666716337204,0.1428571492433548,0.0,0.0,0.621620774269104,0.6328454613685608
88,0.3125,0.5714285969734192,0.10000000149011612,0.42424243688583374,0.25,0.5142857432365417,0.0,0.2841188924702706,0.6539062857627869,0.7461217641830444
89,0.5517241358757019,0.3333333432674408,0.2222222238779068,0.1818181872367859,0.48275861144065857,0.27272728085517883,0.288045523137942,0.0,0.7800607681274414,0.6693809628486633
90,0.3030303120613098,0.4615384638309479,0.0,0.0833333358168602,0.24242424964904785,0.38461539149284363,0.0,0.0,0.6103803515434265,0.6598544716835022
91,0.7058823704719543,0.6666666865348816,0.625,0.4516128897666931,0.7058823704719543,0.6666666865348816,0.35385578200606377,0.0,0.7736818790435791,0.7928106784820557
92,0.5625,0.5806451439857483,0.2666666805744171,0.27586206793785095,0.5,0.5161290168762207,0.23266541684590059,0.14395285676576505,0.7291883826255798,0.730068564414978
93,0.7857142686843872,0.23529411852359772,0.692307710647583,0.125,0.7857142686843872,0.23529411852359772,0.9021315316859231,0.0,0.901441752910614,0.6237943768501282
94,0.4137931168079376,0.5161290168762207,0.1666666716337204,0.2222222238779068,0.3448275923728943,0.3870967626571655,0.2441685669990165,0.0,0.6846049427986145,0.6790773868560791
95,0.1304347813129425,0.3478260934352875,0.0625,0.190476194024086,0.1304347813129425,0.3478260934352875,0.0,0.0,0.6453414559364319,0.7031113505363464
96,0.3636363744735718,0.3199999928474426,0.19354838132858276,0.08695652335882187,0.25,0.23999999463558197,0.0,0.0,0.6561760306358337,0.6481723785400391
97,0.2857142984867096,0.23076923191547394,0.0,0.0,0.2857142984867096,0.21052631735801697,0.0,0.0,0.6751881241798401,0.6942652463912964
98,0.4000000059604645,0.4545454680919647,0.2857142984867096,0.30000001192092896,0.4000000059604645,0.4545454680919647,0.08857393973584181,0.14726247088089767,0.7049295902252197,0.7584748864173889
99,0.4848484992980957,0.5161290168762207,0.3870967626571655,0.27586206793785095,0.4848484992980957,0.5161290168762207,0.42925288572158266,0.2270610068354729,0.7378022074699402,0.7344175577163696
100,0.3529411852359772,0.3870967626571655,0.1428571492433548,0.1599999964237213,0.2666666805744171,0.37037035822868347,0.0,0.0,0.6620891690254211,0.6697184443473816
101,0.5333333611488342,0.48275861144065857,0.2857142984867096,0.37037035822868347,0.46666666865348816,0.48275861144065857,0.0,0.0,0.7743526101112366,0.7199410796165466
102,0.1875,0.31578946113586426,0.05882352963089943,0.0555555559694767,0.1875,0.2631579041481018,0.0,0.0,0.6221087574958801,0.6042135953903198
103,0.6666666865348816,0.6060606241226196,0.5806451439857483,0.3870967626571655,0.6666666865348816,0.5454545617103577,0.4686670913916292,0.2718067054614708,0.7907261848449707,0.7388309240341187
